date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,66.4153,67.5586,66.3749,67.2059,82322156,11760308,0.498221,0.747,67.1585,"Feb 5, 14",0
2014-02-06,67.2745,67.7282,66.9777,67.5976,64497223,9213889,0.391719,0.583,67.6112,"Feb 6, 14",0.005828357331722366
2014-02-07,68.7675,68.972,68.2399,68.5433,93638601,13376943,0.945686,1.399,68.8015,"Feb 7, 14",0.01990003853828313
2014-02-10,68.4088,70.1669,68.3217,69.7712,86451022,12350146,1.2279,1.791,69.5991,"Feb 10, 14",0.03817075584137693
2014-02-11,69.9849,70.9266,69.8385,70.6906,70672252,10096036,0.919309,1.318,70.5433,"Feb 11, 14",0.05185110235857274
2014-02-12,70.8211,71.1654,70.3318,70.6853,77127064,11018152,-0.005276,-0.007,70.9369,"Feb 12, 14",0.05177224023486031
2014-02-13,70.5191,71.8631,70.4584,71.8077,76960156,10994308,1.1224,1.588,71.4105,"Feb 13, 14",0.06847315488669889
2014-02-14,71.5492,72.0121,71.383,71.7497,68468036,9781148,-0.058036,-0.081,71.6841,"Feb 14, 14",0.06761013541965816
2014-02-18,72.0148,72.6993,71.9633,72.0135,65306248,9329464,0.263793,0.368,72.3001,"Feb 18, 14",0.07153538603009547
2014-02-19,71.8499,72.1322,70.4782,70.8765,78554420,11222060,-1.1369,-1.579,71.5665,"Feb 19, 14",0.05461722854689831
2014-02-20,70.2988,70.8277,69.7726,70.0561,76529103,10932729,-0.820386,-1.157,70.1436,"Feb 20, 14",0.042409966982065575
2014-02-21,70.2728,70.5072,69.1922,69.278,69757247,9965321,-0.778182,-1.111,69.7233,"Feb 21, 14",0.03083211444233328
2014-02-24,69.001,69.8939,68.9047,69.5813,72364950,10337850,0.303357,0.438,69.4534,"Feb 24, 14",0.03534511106911743
2014-02-25,69.8227,69.8471,68.7174,68.8572,58247350,8321050,-0.724103,-1.041,69.2109,"Feb 25, 14",0.02457075941249215
2014-02-26,69.0617,69.245,68.0052,68.236,69131286,9875898,-0.621228,-0.902,68.4295,"Feb 26, 14",0.015327523327565058
2014-02-27,68.2083,69.7435,68.0645,69.5971,75557321,10793903,1.3612,1.995,69.1569,"Feb 27, 14",0.03558020947565612
2014-02-28,69.7831,70.2672,68.8651,69.4085,93074653,13296379,-0.188612,-0.271,69.5702,"Feb 28, 14",0.03277390824317514
2014-03-03,69.0366,69.9902,68.9561,69.609,59667923,8523989,0.200482,0.289,69.4336,"Mar 3, 14",0.03575727726285929
2014-03-04,70.0364,70.2527,69.6103,70.068,64884834,9269262,0.458995,0.659,69.9929,"Mar 4, 14",0.04258703476926874
2014-03-05,70.0258,70.531,69.7897,70.2157,50065519,7152217,0.147724,0.211,72.2467,"Mar 5, 14",0.0447847584810262
2014-03-06,70.2724,70.4901,69.6539,70.0034,46423111,6631873,-0.212355,-0.302,70.0689,"Mar 6, 14",0.04162580963873707
2014-03-07,70.0482,70.1656,69.3835,69.9625,55415241,7916463,-0.040884,-0.058,69.7824,"Mar 7, 14",0.04101723211801354
2014-03-10,69.6882,70.3437,69.6854,70.0258,44691430,6384490,0.063308,0.09,70.085,"Mar 10, 14",0.041959113708766704
2014-03-11,70.6233,71.0572,70.2461,70.7077,70198849,10028407,0.6819,0.974,70.7871,"Mar 11, 14",0.05210554430488994
2014-03-12,70.4993,70.8739,70.1683,70.7763,50195460,7170780,0.068582,0.097,70.5878,"Mar 12, 14",0.05312628801935554
2014-03-13,70.8858,71.1786,69.7937,69.9902,64435609,9205087,-0.786092,-1.111,70.402,"Mar 13, 14",0.04142939831175539
