date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,106.4201,107.2469,104.4588,106.772,9691926,9691926,-0.562882,-0.524,105.4225,"Feb 5, 14",0
2014-02-06,107.115,107.9329,106.8687,107.8889,6740580,6740580,1.117,1.046,107.5225,"Feb 6, 14",0.010460607649945688
2014-02-07,108.8388,111.8819,108.7508,111.7148,8928435,8928435,3.8259,3.546,108.8499,"Feb 7, 14",0.04629303562731794
2014-02-10,113.421,113.4298,111.1255,111.8379,8174510,8174510,0.123132,0.11,112.0315,"Feb 10, 14",0.047445959614880295
2014-02-11,112.2689,114.9426,112.1018,114.4764,7878823,7878823,2.6385,2.359,113.8149,"Feb 11, 14",0.07215749447420665
2014-02-12,115.237,115.467,113.2116,113.3266,5802666,5802666,-1.1499,-1.004,113.9041,"Feb 12, 14",0.061388753605814195
2014-02-13,112.3802,114.9274,112.3802,114.5383,4204248,4204248,1.2117,1.069,113.9267,"Feb 13, 14",0.07273723448095007
2014-02-14,114.1756,115.3431,113.2293,115.122,4813870,4813870,0.583747,0.51,114.4547,"Feb 14, 14",0.07820402352676727
2014-02-18,115.0955,115.8118,114.6267,115.5377,4653262,4653262,0.415699,0.361,115.3872,"Feb 18, 14",0.0820973663507286
2014-02-19,115.0778,115.4227,113.5388,113.5565,5149154,5149154,-1.9812,-1.715,114.4365,"Feb 19, 14",0.06354193983441346
2014-02-20,113.6361,114.9717,112.7782,114.5913,4470511,4470511,1.0348,0.911,114.1013,"Feb 20, 14",0.0732336193009403
2014-02-21,114.8036,114.8036,113.3089,113.4592,5170064,5170064,-1.1321,-0.988,113.9326,"Feb 21, 14",0.06263065223092187
2014-02-24,113.5477,115.6881,113.53,114.6179,4638248,4638248,1.1587,1.021,114.8922,"Feb 24, 14",0.0734827482860675
2014-02-25,114.3614,114.7594,111.6284,112.1325,7317397,7317397,-2.4853,-2.168,112.9572,"Feb 25, 14",0.050205109953920385
2014-02-26,112.5394,113.1585,111.7611,111.9822,4804395,4804395,-0.150359,-0.134,112.3665,"Feb 26, 14",0.04879743753043869
2014-02-27,111.8583,113.7069,111.6726,113.7069,4649978,4649978,1.7247,1.54,113.1195,"Feb 27, 14",0.06495054883302737
2014-02-28,113.8749,114.9364,113.2646,114.0253,4365211,4365211,0.318408,0.28,114.2729,"Feb 28, 14",0.06793260405349713
2014-03-03,112.4863,113.6007,111.9026,113.4062,4847051,4847051,-0.619126,-0.543,112.4393,"Mar 3, 14",0.062134267410931636
2014-03-04,114.4321,115.865,114.3879,115.1839,5423308,5423308,1.7778,1.568,115.2816,"Mar 4, 14",0.07878376353351055
2014-03-05,115.3343,115.6881,113.8219,113.9103,4097125,4097125,-1.2736,-1.106,114.5647,"Mar 5, 14",0.06685554265163152
2014-03-06,114.1049,114.4233,113.2381,113.9722,3599923,3599923,0.06191,0.054,113.8773,"Mar 6, 14",0.06743528265837481
2014-03-07,114.7594,115.122,113.2735,113.6892,4301861,4301861,-0.283026,-0.248,114.1185,"Mar 7, 14",0.06478477503465321
2014-03-10,111.8937,112.5748,110.3459,112.2298,7039871,7039871,-1.4594,-1.284,111.3336,"Mar 10, 14",0.05111639755741198
2014-03-11,112.3536,112.5659,111.1065,111.1508,4190977,4190977,-1.0791,-0.961,111.7392,"Mar 11, 14",0.041010751882515996
2014-03-12,110.5582,110.7351,109.5057,110.054,5041992,5041992,-1.0967,-0.987,110.2249,"Mar 12, 14",0.030738395834113776
2014-03-13,110.2486,111.0977,107.5775,107.8075,6071160,6071160,-2.2465,-2.041,105.372,"Mar 13, 14",0.009698235492451194
2014-03-14,108.0109,109.9214,107.8606,108.8865,5702757,5702757,1.079,1.001,110.3352,"Mar 14, 14",0.019803881167347173
2014-03-17,109.6472,111.2834,109.603,110.9297,4381634,4381634,2.0431,1.876,110.8037,"Mar 17, 14",0.0389399842655377
2014-03-18,111.08,111.2803,109.373,109.7091,4151560,4151560,-1.2206,-1.1,110.7896,"Mar 18, 14",0.027508148203648903
2014-03-19,109.9567,110.7351,107.3476,108.1171,6672961,6672961,-1.592,-1.451,106.2749,"Mar 19, 14",0.012597872101299853
2014-03-20,108.4266,109.5875,107.3564,109.4349,4601670,4601670,1.3179,1.219,108.7273,"Mar 20, 14",0.02494005919154828
2014-03-21,109.7268,110.0717,108.347,108.4178,7975403,7975403,-1.0171,-0.929,106.8196,"Mar 21, 14",0.01541415352339559
2014-03-24,109.258,109.6295,107.9755,109.1607,4476014,4476014,0.742948,0.685,108.8108,"Mar 24, 14",0.022371970179447795
2014-03-25,110.0806,110.5582,109.2845,109.6914,3229412,3229412,0.53068,0.486,109.7733,"Mar 25, 14",0.027342374405274754
2014-03-26,110.2132,110.8412,109.0723,109.258,3091527,3091527,-0.433387,-0.395,109.4155,"Mar 26, 14",0.023283257782939253
2014-03-27,108.7981,109.9391,107.7279,108.975,3116046,3116046,-0.283029,-0.259,107.086,"Mar 27, 14",0.020632750159217665
