date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,78.9787,79.2098,77.9683,78.7389,5134846,5134846,-0.462365,-0.584,78.3716,"Feb 5, 14",0
2014-02-06,78.7218,80.6826,78.5934,80.3401,6864749,6864749,1.6011,2.033,79.9198,"Feb 6, 14",0.020335564758969273
2014-02-07,80.6312,81.5474,80.3829,81.2305,9665197,9665197,0.89048,1.108,80.7059,"Feb 7, 14",0.03164382535189094
2014-02-10,81.3162,81.3247,80.1665,80.9137,5933664,5933664,-0.316806,-0.39,80.7144,"Feb 10, 14",0.027620401097805593
2014-02-11,81.0165,81.633,80.7254,81.3076,6011559,6011559,0.393869,0.487,81.2929,"Feb 11, 14",0.03262301098948541
2014-02-12,81.6073,82.7461,81.4874,82.3436,8006395,8006395,1.036,1.274,82.3109,"Feb 12, 14",0.0457804211133251
2014-02-13,81.5902,82.5491,81.436,82.2923,4392208,4392208,-0.051374,-0.062,82.2305,"Feb 13, 14",0.04512890070854427
2014-02-14,82.0782,82.7803,82.0611,82.669,4232955,4232955,0.376742,0.458,82.545,"Feb 14, 14",0.04991306711168172
2014-02-18,82.0697,82.9987,82.0697,82.6776,4872883,4872883,0.008562,0.01,82.6296,"Feb 18, 14",0.050022288855952994
2014-02-19,82.3608,83.628,82.288,82.3779,5868813,5868813,-0.299678,-0.362,82.9241,"Feb 19, 14",0.046216038070127925
2014-02-20,82.6348,83.4996,81.5987,82.9858,7719564,7719564,0.607921,0.738,82.8622,"Feb 20, 14",0.053936491365767066
2014-02-21,83.1485,83.8677,82.9858,83.4824,5558694,5558694,0.496614,0.598,83.4916,"Feb 21, 14",0.060243412087291
2014-02-24,83.5252,84.116,83.2084,83.3283,4888158,4888158,-0.154121,-0.185,83.7202,"Feb 24, 14",0.05828631083238396
2014-02-25,82.9173,83.0372,82.044,82.5491,5993094,5993094,-0.779172,-0.935,84.6883,"Feb 25, 14",0.04839031279329524
2014-02-26,82.7632,83.8335,82.4892,83.2256,4753899,4753899,0.676424,0.819,83.3417,"Feb 26, 14",0.05698200000254003
2014-02-27,83.2341,83.598,82.6433,82.7974,4340142,4340142,-0.428116,-0.514,82.9693,"Feb 27, 14",0.051543773154057206
2014-02-28,82.7375,83.4996,82.455,83.0286,5411245,5411245,0.231184,0.279,83.0861,"Feb 28, 14",0.05448006004655889
2014-03-03,82.4721,82.7718,81.8556,82.4635,4859173,4859173,-0.565113,-0.681,81.9294,"Mar 3, 14",0.047303175431711586
2014-03-04,83.2256,83.4482,82.6776,83.0714,6264043,6264043,0.607924,0.737,83.0642,"Mar 4, 14",0.055023628727350726
2014-03-05,82.6605,82.9687,82.0953,82.5149,5384826,5384826,-0.556548,-0.67,82.4883,"Mar 5, 14",0.04795596585677468
2014-03-06,83.0115,84.039,82.7632,83.5681,6792145,6792145,1.0532,1.276,83.6951,"Mar 6, 14",0.061331819469156924
2014-03-07,83.7222,83.7992,82.6262,83.0971,5259754,5259754,-0.470926,-0.564,83.0349,"Mar 7, 14",0.055350023939882274
2014-03-10,82.7461,82.8831,82.0782,82.8403,4693467,4693467,-0.256869,-0.309,82.5916,"Mar 10, 14",0.0520886118551313
2014-03-11,83.1314,83.8335,82.729,82.9173,5731313,5731313,0.077063,0.093,83.1489,"Mar 11, 14",0.05306652747244369
