date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,20.675,20.7273,20.5005,20.5179,32484587,32484587,-0.065424,-0.318,20.6871,"Feb 5, 14",0
2014-02-06,20.5877,21.0065,20.5441,20.9279,28049363,28049363,0.410009,1.998,20.8851,"Feb 6, 14",0.01998255182060543
2014-02-07,21.1111,21.1635,20.736,21.1155,30885856,30885856,0.18756,0.896,20.9972,"Feb 7, 14",0.02912578772681414
2014-02-10,21.0326,21.2594,20.989,21.1897,24571791,24571791,0.074149,0.351,21.1424,"Feb 10, 14",0.03274214222703091
2014-02-11,21.242,21.3859,21.2245,21.3467,17947958,17947958,0.157026,0.741,21.3278,"Feb 11, 14",0.04039399743638469
2014-02-12,21.3816,21.5386,21.2594,21.4165,25925263,25925263,0.069788,0.327,21.4201,"Feb 12, 14",0.04379590503901463
2014-02-13,21.3118,21.5822,21.2071,21.5473,22940043,22940043,0.130854,0.611,21.4661,"Feb 13, 14",0.05017082644910049
2014-02-14,21.4383,21.5997,21.2943,21.5953,20592672,20592672,0.047977,0.223,21.4925,"Feb 14, 14",0.052510247150049504
2014-02-18,21.5211,21.6171,21.4165,21.5997,17749250,17749250,0.004365,0.02,21.5579,"Feb 18, 14",0.052724694047636335
2014-02-19,21.5037,21.5648,21.3031,21.3728,25743616,25743616,-0.226815,-1.05,21.4277,"Feb 19, 14",0.04166605744252583
2014-02-20,21.4077,21.6782,21.3728,21.5822,20230664,20230664,0.209367,0.98,21.5855,"Feb 20, 14",0.05187178025041546
2014-02-21,21.7654,21.7741,21.242,21.3031,30617671,30617671,-0.279155,-1.293,21.4416,"Feb 21, 14",0.038269023633022856
2014-02-24,21.3816,21.7043,21.2943,21.4863,24173569,24173569,0.183193,0.86,21.5632,"Feb 24, 14",0.04719781264164456
2014-02-25,21.5211,21.556,21.338,21.4775,21613463,21613463,-0.008721,-0.041,21.4318,"Feb 25, 14",0.04676891884647055
2014-02-26,21.5822,21.7916,21.4688,21.6346,19820163,19820163,0.157025,0.731,21.6842,"Feb 26, 14",0.054425647848951306
2014-02-27,21.6346,21.6346,21.3816,21.5997,20866873,20866873,-0.034894,-0.161,21.4979,"Feb 27, 14",0.052724694047636335
2014-02-28,21.6258,21.6738,21.4339,21.5997,23483725,23483725,0,0,21.575,"Feb 28, 14",0.052724694047636335
2014-03-03,21.4165,21.4514,21.1984,21.3728,25727231,25727231,-0.226815,-1.05,21.3336,"Mar 3, 14",0.04166605744252583
2014-03-04,21.5648,21.6171,21.3728,21.4688,23714667,23714667,0.095959,0.449,21.4708,"Mar 4, 14",0.046344898844423686
2014-03-05,21.5473,21.556,21.2856,21.3728,21071351,21071351,-0.095959,-0.447,21.3955,"Mar 5, 14",0.04166605744252583
