date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,31.9029,32.0944,31.8093,32.0051,13716618,13716618,0.110625,0.347,31.8242,"Feb 5, 14",0
2014-02-06,32.9837,33.1369,32.2689,32.3625,22665049,22665049,0.357409,1.117,32.4627,"Feb 6, 14",0.011166970264114107
2014-02-07,32.4816,32.6348,32.2263,32.2944,20495016,20495016,-0.06808,-0.21,32.1807,"Feb 7, 14",0.009039184379989575
2014-02-10,32.3965,32.8645,32.2008,32.822,20915498,20915498,0.527605,1.634,32.9867,"Feb 10, 14",0.02552405710339927
2014-02-11,32.9071,33.005,32.7709,32.8816,15417558,15417558,0.059567,0.181,32.8901,"Feb 11, 14",0.027386260314762337
2014-02-12,33.0603,33.1198,32.6773,32.7709,10633637,10633637,-0.110624,-0.336,32.8174,"Feb 12, 14",0.023927436564797445
2014-02-13,32.4476,32.9827,32.4476,32.8901,10449553,10449553,0.119136,0.364,32.8515,"Feb 13, 14",0.0276518429875238
2014-02-14,32.8475,33.2049,32.5667,33.1283,16047482,16047482,0.23827,0.724,32.982,"Feb 14, 14",0.035094406828911774
2014-02-18,32.3199,32.4305,31.7072,31.8859,46195701,46195701,-1.2424,-3.75,31.9054,"Feb 18, 14",-0.0037244064227263565
2014-02-19,31.9115,31.9966,31.5285,31.5711,26650629,26650629,-0.314854,-0.987,31.7039,"Feb 19, 14",-0.013560338821000325
2014-02-20,31.537,31.9285,31.3924,31.7413,22652321,22652321,0.170189,0.539,31.7209,"Feb 20, 14",-0.008242436361704847
2014-02-21,31.988,32.0136,31.6051,31.6391,19440449,19440449,-0.102117,-0.322,31.7846,"Feb 21, 14",-0.011435677438908163
2014-02-24,31.7413,31.9966,31.6732,31.9115,24225051,24225051,0.272313,0.861,31.909,"Feb 24, 14",-0.002924533902409259
2014-02-25,32.0221,32.2859,31.9115,32.1412,22879234,22879234,0.22976,0.72,32.1522,"Feb 25, 14",0.004252447266216915
2014-02-26,32.2518,32.2859,32.0987,32.2263,18202510,18202510,0.0851,0.265,32.2178,"Feb 26, 14",0.006911398495864821
2014-02-27,32.2008,32.4305,32.1667,32.3965,18441483,18441483,0.170195,0.528,32.3478,"Feb 27, 14",0.01222930095516041
2014-02-28,32.405,32.6646,32.371,32.5071,15765571,15765571,0.110625,0.341,32.5385,"Feb 28, 14",0.01568500020309271
2014-03-03,32.2348,32.4731,32.2093,32.4391,18684354,18684354,-0.068078,-0.209,32.3001,"Mar 3, 14",0.013560338821000547
2014-03-04,32.6263,32.668,32.5327,32.6007,20456788,20456788,0.161683,0.498,32.5933,"Mar 4, 14",0.01860953410550208
2014-03-05,32.6943,32.7199,32.5497,32.6348,14367749,14367749,0.03404,0.104,32.6195,"Mar 5, 14",0.01967498929858053
2014-03-06,32.6773,32.8051,32.5667,32.7369,14740674,14740674,0.102118,0.313,32.7338,"Mar 6, 14",0.022865105873751367
2014-03-07,32.8135,32.856,32.6433,32.805,17074233,17074233,0.068077,0.208,32.7607,"Mar 7, 14",0.02499289175787612
2014-03-10,32.805,32.8901,32.7114,32.8901,14541439,14541439,0.085098,0.259,32.8281,"Mar 10, 14",0.0276518429875238
2014-03-11,33.0518,33.0518,32.7965,33.0177,13845663,13845663,0.127643,0.388,32.9607,"Mar 11, 14",0.03163870758097925
2014-03-12,32.8247,33.022,32.7733,32.9963,15692277,15692277,-0.021434,-0.065,32.9206,"Mar 12, 14",0.030970064146026703
2014-03-13,32.9791,33.0134,32.5254,32.5674,18302808,18302808,-0.428861,-1.3,31.7105,"Mar 13, 14",0.017569074928683256
2014-03-14,32.5503,32.8676,32.4902,32.739,14687231,14687231,0.171544,0.527,33.1947,"Mar 14, 14",0.022930720416433584
2014-03-17,32.739,32.9105,32.636,32.8247,19202973,19202973,0.085772,0.262,32.8257,"Mar 17, 14",0.025608418658276375
