date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,46.4784,47.2706,45.5065,45.8405,24507243,24507243,0.017129,0.037,46.0561,"Feb 5, 14",0
2014-02-06,45.6093,46.1273,45.2153,46.046,12246810,12246810,0.205523,0.448,45.8747,"Feb 6, 14",0.004482935395556346
2014-02-07,45.9432,46.9452,45.7634,46.9023,14547783,14547783,0.85635,1.86,46.3947,"Feb 7, 14",0.023162923615580068
2014-02-10,46.4913,47.0993,46.4313,47.0051,10615310,10615310,0.102765,0.219,47.001,"Feb 10, 14",0.02540548205189734
2014-02-11,46.851,47.7416,46.6197,47.6987,15358220,15358220,0.693643,1.476,47.3005,"Feb 11, 14",0.04053620706580434
2014-02-12,47.4761,47.6902,46.9708,47.0993,13629961,13629961,-0.599448,-1.257,47.1711,"Feb 12, 14",0.02746043345949544
2014-02-13,46.6283,47.2791,46.5941,47.1849,10244169,10244169,0.085636,0.182,47.0441,"Feb 13, 14",0.02932777783837437
2014-02-14,47.0565,47.626,47.0565,47.4761,8696479,8696479,0.291159,0.617,47.406,"Feb 14, 14",0.03568023908988784
2014-02-18,47.2877,47.8914,47.2106,47.6902,11201287,11201287,0.21409,0.451,47.7118,"Feb 18, 14",0.04035078151416321
2014-02-19,47.4761,47.6645,47.0907,47.1336,10297100,10297100,-0.556631,-1.167,47.361,"Feb 19, 14",0.028208680097293933
2014-02-20,47.1935,47.9556,47.125,47.7929,10133452,10133452,0.659392,1.399,47.6736,"Feb 20, 14",0.04259115847340244
2014-02-21,47.8272,48.2468,47.8015,47.9813,11666583,11666583,0.188397,0.394,48.0287,"Feb 21, 14",0.04670106128859848
2014-02-24,47.8443,48.7435,47.8443,48.1098,11012522,11012522,0.128453,0.268,48.3312,"Feb 24, 14",0.049504259333995076
2014-02-25,48.067,48.2896,47.7844,47.8786,8515916,8515916,-0.231214,-0.481,48.0079,"Feb 25, 14",0.04446068432935941
2014-02-26,47.9556,48.341,47.8871,48.1869,10139579,10139579,0.308287,0.644,49.1104,"Feb 26, 14",0.05118617816123303
2014-02-27,48.1612,48.5294,47.9557,48.5208,9055465,9055465,0.333976,0.693,48.3148,"Feb 27, 14",0.058470130125107767
2014-02-28,48.5808,49.2016,48.5123,48.8034,11887592,11887592,0.282594,0.582,48.9093,"Feb 28, 14",0.06463498434790207
2014-03-03,48.0413,48.615,47.9128,48.3153,9821842,9821842,-0.48812,-1,48.103,"Mar 3, 14",0.05398719472955142
2014-03-04,48.8463,49.146,48.7349,48.8634,10996055,10996055,0.548067,1.134,48.9364,"Mar 4, 14",0.06594387059477973
2014-03-05,49.1545,49.1888,48.401,48.7092,9048109,9048109,-0.154143,-0.315,48.6719,"Mar 5, 14",0.06258003294030397
2014-03-06,48.8634,49.3686,48.8206,49.0347,10605733,10605733,0.32541,0.668,49.1273,"Mar 6, 14",0.06968074082961578
2014-03-07,49.1117,49.3001,48.8976,49.2145,10634294,10634294,0.179837,0.367,49.1556,"Mar 7, 14",0.07360303661609281
2014-03-10,49.1888,49.3429,48.812,49.086,7383294,7383294,-0.128455,-0.261,49.0324,"Mar 10, 14",0.07079983857069622
2014-03-11,49.1545,49.1888,48.4438,48.5465,10885694,10885694,-0.5395,-1.099,48.6861,"Mar 11, 14",0.05903076973418709
