date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,32.1802,32.3398,31.7457,31.7634,55841097,55841097,-0.469978,-1.458,32.0088,"Feb 5, 14",0
2014-02-06,31.7457,32.1447,31.6481,32.0826,35380994,35380994,0.319232,1.005,32.0218,"Feb 6, 14",0.01004930202686106
2014-02-07,32.2068,32.4462,31.9319,32.4196,33348008,33348008,0.336965,1.05,32.2702,"Feb 7, 14",0.02065899746248833
2014-02-10,32.4817,32.6324,32.1802,32.6324,26782083,26782083,0.212821,0.656,32.5426,"Feb 10, 14",0.02735853214706222
2014-02-11,32.7034,33.0403,32.6856,32.965,32164989,32164989,0.33253,1.019,32.9413,"Feb 11, 14",0.037829703369286746
2014-02-12,33.1201,33.3418,33.0758,33.2266,27055869,27055869,0.261593,0.794,33.2367,"Feb 12, 14",0.0460655975116013
2014-02-13,33.1024,33.5724,33.1024,33.3507,37647772,37647772,0.124142,0.374,33.4157,"Feb 13, 14",0.04997260998507724
2014-02-14,33.1556,33.5014,33.1024,33.3596,42986738,42986738,0.00887,0.027,33.3362,"Feb 14, 14",0.05025280668946018
2014-02-18,33.6187,33.7527,33.4221,33.431,32839707,32839707,0.071478,0.214,33.5283,"Feb 18, 14",0.05250067687967902
2014-02-19,33.2524,33.7259,33.2434,33.5114,29794084,29794084,0.080404,0.241,33.5286,"Feb 19, 14",0.05503189205185846
2014-02-20,33.565,33.8331,33.4087,33.7259,27541038,27541038,0.214417,0.64,33.6762,"Feb 20, 14",0.0617849474552473
2014-02-21,33.8956,34.2619,33.8241,33.9313,38030656,38030656,0.205483,0.609,34.0174,"Feb 21, 14",0.06825150959909831
2014-02-24,33.6723,33.9269,33.5382,33.6723,32143395,32143395,-0.259088,-0.764,33.7801,"Feb 24, 14",0.06009747067379434
2014-02-25,33.6008,33.8152,33.3685,33.5382,30867657,30867657,-0.134011,-0.398,33.6166,"Feb 25, 14",0.05587563044258494
2014-02-26,33.5741,33.7169,33.2256,33.4757,41042629,41042629,-0.062537,-0.186,33.5049,"Feb 26, 14",0.05390795695674904
2014-02-27,33.4578,33.8509,33.2613,33.8241,33919024,33919024,0.348424,1.041,33.5998,"Feb 27, 14",0.06487655603619262
2014-02-28,33.9313,34.3602,33.7884,34.2262,41217028,41217028,0.402033,1.189,34.1588,"Feb 28, 14",0.07753578017466638
2014-03-03,33.8777,34.0654,33.498,33.7527,29716052,29716052,-0.473502,-1.383,33.7001,"Mar 3, 14",0.06262868584597356
