date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,25.9183,26.0772,25.5754,25.634,37160317,37160317,-0.443257,-1.7,25.5885,"Feb 5, 14",0
2014-02-06,25.68,25.8514,25.5922,25.7929,23571095,23571095,0.158906,0.62,25.7275,"Feb 6, 14",0.006198798470780961
2014-02-07,25.7929,26.1609,25.6005,26.1107,27925229,27925229,0.317809,1.232,25.6604,"Feb 7, 14",0.018596395412343023
2014-02-10,26.1441,26.3198,26.0354,26.3198,22592138,22592138,0.209088,0.801,26.2219,"Feb 10, 14",0.026753530467348068
2014-02-11,26.5874,26.7463,26.2863,26.6627,24751159,24751159,0.342902,1.303,26.5753,"Feb 11, 14",0.040130295701022105
2014-02-12,26.6543,26.763,26.3867,26.4369,21258791,21258791,-0.225813,-0.847,26.5433,"Feb 12, 14",0.03132168214090665
2014-02-13,26.3449,26.6358,26.2612,26.5121,18908053,18908053,0.075269,0.285,26.4911,"Feb 13, 14",0.03425528594834984
2014-02-14,26.6627,26.763,26.5121,26.7129,18916233,18916233,0.200726,0.757,26.6631,"Feb 14, 14",0.04208863228524619
2014-02-18,26.6041,26.8383,26.5875,26.6627,19688059,19688059,-0.050182,-0.188,26.7058,"Feb 18, 14",0.040130295701022105
2014-02-19,26.6961,26.7296,26.2947,26.3281,27748274,27748274,-0.334538,-1.255,26.9335,"Feb 19, 14",0.02707731918545677
2014-02-20,26.211,26.5205,26.1441,26.3867,22456010,22456010,0.058544,0.222,26.4053,"Feb 20, 14",0.029363345556682564
2014-02-21,26.4954,26.5707,26.2947,26.3114,18471924,18471924,-0.07527,-0.285,26.4288,"Feb 21, 14",0.02642584068034636
2014-02-24,26.7547,26.8299,26.37,26.7547,38786380,38786380,0.443262,1.685,26.718,"Feb 24, 14",0.04371927908246857
2014-02-25,26.3867,26.7547,26.3783,26.671,27197243,27197243,-0.083634,-0.313,26.634,"Feb 25, 14",0.0404540844191308
2014-02-26,26.5456,26.763,26.5289,26.7547,25023439,25023439,0.083634,0.314,26.6994,"Feb 26, 14",0.04371927908246857
2014-02-27,26.6543,26.9638,26.6209,26.9554,22754494,22754494,0.200724,0.75,26.8361,"Feb 27, 14",0.05154872435047205
2014-02-28,26.8634,27.1059,26.6376,26.855,27517571,27517571,-0.100364,-0.372,26.9039,"Feb 28, 14",0.04763205118202388
2014-03-03,26.3616,26.8801,26.3616,26.7463,23791929,23791929,-0.108725,-0.405,26.4849,"Mar 3, 14",0.043391589295467006
2014-03-04,27.0474,27.3819,27.0474,27.3401,26342366,26342366,0.593806,2.22,27.2871,"Mar 4, 14",0.06655613638136847
2014-03-05,27.3067,27.5576,27.2648,27.3903,22451734,22451734,0.050181,0.184,27.5207,"Mar 5, 14",0.06851447296559256
2014-03-06,27.4321,27.5659,27.1059,27.1478,20551400,20551400,-0.24254,-0.885,27.301,"Mar 6, 14",0.059054380900366694
2014-03-07,27.1896,27.315,26.9136,27.1227,17610815,17610815,-0.02509,-0.092,27.0513,"Mar 7, 14",0.05807521260825458
2014-03-10,27.1143,27.2188,27.0056,27.0892,15958700,15958700,-0.033456,-0.123,27.1103,"Mar 10, 14",0.05676835452914104
2014-03-11,27.0558,27.2816,26.9638,27.1143,24165672,24165672,0.025092,0.093,27.1256,"Mar 11, 14",0.05774752282125301
2014-03-12,26.8885,27.2398,26.7045,26.7463,32518265,32518265,-0.367993,-1.357,27.3145,"Mar 12, 14",0.043391589295467006
2014-03-13,26.7547,26.7798,25.8514,26.0271,45895720,45895720,-0.719252,-2.689,25.5228,"Mar 13, 14",0.015335101817898121
2014-03-14,26.0521,26.2905,25.7845,26.119,27112901,27112901,0.091994,0.353,26.2357,"Mar 14, 14",0.018920184130451722
2014-03-17,26.2696,26.37,26.1441,26.278,21264210,21264210,0.158904,0.608,26.2532,"Mar 17, 14",0.02512288367012555
2014-03-18,26.3198,26.809,26.278,26.7045,23080384,23080384,0.426537,1.623,26.678,"Mar 18, 14",0.04176094249824448
2014-03-19,26.7045,26.8299,26.2529,26.5205,23082990,23082990,-0.183995,-0.689,25.946,"Mar 19, 14",0.034582975735351414
2014-03-20,26.8634,26.8634,26.5205,26.6878,22696147,22696147,0.167268,0.631,26.6597,"Mar 20, 14",0.04110946399313408
2014-03-21,27.039,27.1728,26.3115,26.9136,62719258,62719258,0.225813,0.846,25.4128,"Mar 21, 14",0.049918077553249535
2014-03-24,26.5707,26.6794,26.2027,26.3365,41807065,41807065,-0.577077,-2.144,26.3873,"Mar 24, 14",0.027405008972458476
2014-03-25,26.5707,26.7547,26.4201,26.6125,21139199,21139199,0.275994,1.048,26.5926,"Mar 25, 14",0.038171959116798014
2014-03-26,26.7714,27.1059,26.487,26.9136,31579480,31579480,0.301083,1.131,26.8972,"Mar 26, 14",0.049918077553249535
2014-03-27,26.9972,27.0808,26.6794,26.8467,27743994,27743994,-0.066905,-0.249,26.7514,"Mar 27, 14",0.047308262463915035
2014-03-28,26.9303,27.1645,26.5457,26.6627,21969901,21969901,-0.183997,-0.685,26.7938,"Mar 28, 14",0.040130295701022105
2014-03-31,26.7296,26.9136,26.6209,26.8634,18473249,18473249,0.200722,0.753,26.8222,"Mar 31, 14",0.047959740969025444
