date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,71.3992,72.166,71.3546,71.7291,2342391,2342391,0.080255,0.112,71.3988,"Feb 5, 14",0
2014-02-06,71.9164,71.9877,71.2922,71.952,2642791,2642791,0.222924,0.311,71.639,"Feb 6, 14",0.0031075253976419006
2014-02-07,72.3979,72.3979,71.5419,72.1215,2542639,2542639,0.169425,0.235,71.5517,"Feb 7, 14",0.005470583068796276
2014-02-10,72.5227,73.5125,71.9164,73.4323,4305023,4305023,1.3108,1.818,73.1564,"Feb 10, 14",0.023744895725723525
2014-02-11,73.4769,74.538,73.3074,74.1991,3105575,3105575,0.766871,1.044,74.2584,"Feb 11, 14",0.034435117685848546
2014-02-12,73.7979,74.1011,73.0132,73.352,3732888,3732888,-0.847123,-1.142,73.37,"Feb 12, 14",0.022625405867353714
2014-02-13,73.0043,73.9227,72.7278,73.9049,2650719,2650719,0.552859,0.754,73.569,"Feb 13, 14",0.0303335745185705
2014-02-14,73.6017,74.966,73.6017,74.9214,2063014,2063014,1.0165,1.375,74.5844,"Feb 14, 14",0.04450494987390059
2014-02-18,74.9749,75.608,74.966,75.2335,2531473,2531473,0.3121,0.417,75.2287,"Feb 18, 14",0.048856043084327054
2014-02-19,75.1444,75.9558,74.8858,74.9125,3115854,3115854,-0.321014,-0.427,75.6838,"Feb 19, 14",0.04438087191948584
2014-02-20,75.0641,75.2335,74.3418,74.7342,2083547,2083547,-0.178344,-0.238,74.6636,"Feb 20, 14",0.04189513042823622
2014-02-21,74.8323,75.0017,74.3418,74.7163,1895287,1895287,-0.017833,-0.024,74.7502,"Feb 21, 14",0.041645580385087796
2014-02-24,74.752,75.2514,74.3686,74.4042,2163173,2163173,-0.3121,-0.418,74.7976,"Feb 24, 14",0.037294487174661335
2014-02-25,74.2883,74.4042,73.6106,74.3151,2681959,2681959,-0.089169,-0.12,74.1191,"Feb 25, 14",0.03605231349619608
2014-02-26,74.3686,74.6361,74.0208,74.3953,2157050,2157050,0.080254,0.108,74.2955,"Feb 26, 14",0.03717040922024678
2014-02-27,74.2616,74.7788,74.0966,74.7698,1585301,1585301,0.374516,0.503,74.5281,"Feb 27, 14",0.04239144224589464
2014-02-28,74.6539,75.0819,74.4488,74.7609,2286989,2286989,-0.008916,-0.012,74.8089,"Feb 28, 14",0.042267364291480085
2014-03-03,74.4132,74.7431,73.6552,74.1724,1728597,1728597,-0.58853,-0.787,73.9685,"Mar 3, 14",0.03406288382260468
2014-03-04,75.0463,75.3405,74.7342,75.0017,1864934,1864934,0.82929,1.118,75.0181,"Mar 4, 14",0.0456244397322704
2014-03-05,74.9482,75.2603,74.5647,75.2335,2582903,2582903,0.231846,0.309,74.9892,"Mar 5, 14",0.048856043084327054
2014-03-06,75.2963,75.8255,75.1259,75.7089,1922290,1922290,0.4754,0.632,75.5966,"Mar 6, 14",0.05548375763811336
2014-03-07,76.005,76.1216,75.09,75.2873,2733721,2733721,-0.421601,-0.557,75.4692,"Mar 7, 14",0.04960608734809163
2014-03-10,75.081,75.2514,74.7581,75.1528,1954413,1954413,-0.134552,-0.179,75.0619,"Mar 10, 14",0.047730976688679996
2014-03-11,75.4757,75.5116,74.7581,74.9734,1859035,1859035,-0.179406,-0.239,75.068,"Mar 11, 14",0.04522989971991835
2014-03-12,74.5876,75.1079,74.4531,74.8388,1758486,1758486,-0.134554,-0.179,74.835,"Mar 12, 14",0.04335339492618761
2014-03-13,75.0631,75.2236,74.0136,74.0853,2120999,2120999,-0.753502,-1.007,73.5502,"Mar 13, 14",0.03284859283052487
2014-03-14,74.0853,74.3096,73.8431,74.1481,2074411,2074411,0.062791,0.085,74.1077,"Mar 14, 14",0.03372410918302331
2014-03-17,74.6415,75.1528,74.2737,74.9375,2758611,2758611,0.789384,1.065,74.8422,"Mar 17, 14",0.0447294054993022
2014-03-18,75.072,75.5654,74.7778,75.3053,2141059,2141059,0.367781,0.491,75.3195,"Mar 18, 14",0.04985703152555936
2014-03-19,75.3412,75.5654,74.2827,74.6325,2526472,2526472,-0.67277,-0.893,73.4899,"Mar 19, 14",0.04047729582554348
2014-03-20,74.3634,74.9106,74.0136,74.6594,2753429,2753429,0.02691,0.036,74.5882,"Mar 20, 14",0.040852317957425964
2014-03-21,75.1707,75.4039,74.7401,75.1528,6498254,6498254,0.493366,0.661,72.3474,"Mar 21, 14",0.047730976688679996
2014-03-24,75.2335,75.5833,75.0272,75.2245,2795094,2795094,0.07176,0.095,75.2474,"Mar 24, 14",0.04873057099559319
2014-03-25,75.6372,75.9511,75.3142,75.377,2021873,2021873,0.152495,0.203,75.503,"Mar 25, 14",0.05085662583247235
2014-03-26,75.7358,75.7897,74.8298,74.8388,2113317,2113317,-0.538215,-0.714,75.0326,"Mar 26, 14",0.04335339492618761
2014-03-27,74.6953,75.1976,74.6504,74.8926,3569237,3569237,0.053821,0.072,74.723,"Mar 27, 14",0.04410343918995218
2014-03-28,75.2245,75.5026,74.8478,75.3412,2423316,2423316,0.448514,0.599,75.2439,"Mar 28, 14",0.05035752574617551
2014-03-31,75.9242,76.3638,75.8166,76.3368,2106576,2106576,0.995698,1.322,76.1398,"Mar 31, 14",0.06423752702877904
