date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,51.506,52.3514,51.4773,52.0785,13523608,3380902,0.258452,0.499,51.7692,"Feb 5, 14",0
2014-02-06,52.192,52.8997,52.1195,52.8997,12728848,3182212,0.821235,1.577,52.6547,"Feb 6, 14",0.015768503317107916
2014-02-07,53.1847,53.6219,52.7668,53.5688,12580416,3145104,0.669065,1.265,52.813,"Feb 7, 14",0.028616415603368087
2014-02-10,53.5953,53.6533,53.1364,53.2717,10318436,2579609,-0.297095,-0.555,53.3313,"Feb 10, 14",0.02291156619334283
2014-02-11,53.4118,53.8369,53.1509,53.7016,9817868,2454467,0.429941,0.807,53.6009,"Feb 11, 14",0.031166412243056173
2014-02-12,54.067,54.4203,53.9339,54.2436,14656320,3664080,0.542022,1.009,54.1659,"Feb 12, 14",0.041573778046602776
2014-02-13,53.9242,54.384,53.8299,54.2146,13158980,3289745,-0.029039,-0.054,54.2079,"Feb 13, 14",0.04101692637076719
2014-02-14,54.2678,54.7445,54.0839,54.6864,12745548,3186387,0.471853,0.87,54.5648,"Feb 14, 14",0.050076327083153335
2014-02-18,54.8026,55.2865,54.5945,54.7009,13428924,3357231,0.014517,0.027,54.8426,"Feb 18, 14",0.050354752921071055
2014-02-19,54.655,55.1196,54.125,54.1734,9342232,2335558,-0.527506,-0.964,54.5404,"Feb 19, 14",0.040225812955442315
2014-02-20,54.2412,54.4372,53.8613,54.0718,8810584,2202646,-0.101632,-0.188,54.0601,"Feb 20, 14",0.03827491191182551
2014-02-21,54.1371,54.3646,53.9557,54.0476,9137596,2284399,-0.024195,-0.045,54.1305,"Feb 21, 14",0.03781022878923173
2014-02-24,54.1371,55.0325,54.073,54.7324,10879264,2719816,0.68479,1.267,54.7486,"Feb 24, 14",0.050959609051720006
2014-02-25,54.7324,55.2744,54.5633,54.955,11341748,2835437,0.222618,0.407,54.9882,"Feb 25, 14",0.05523392570830574
2014-02-26,54.9841,55.1462,54.5074,54.713,10413568,2603392,-0.241976,-0.44,54.8001,"Feb 26, 14",0.05058709448236802
2014-02-27,54.7324,55.122,54.5896,54.7542,8106904,2026726,0.041136,0.075,54.8072,"Feb 27, 14",0.05137820789769289
2014-02-28,54.8002,55.168,53.404,54.6719,14006976,3501744,-0.082273,-0.15,54.7649,"Feb 28, 14",0.04979790124523561
2014-03-03,54.0186,54.2122,53.1354,53.583,16422960,4105740,-1.0889,-1.992,53.5735,"Mar 3, 14",0.028889080906708147
2014-03-04,54.4808,54.6792,53.8589,54.5654,14939076,3734769,0.982419,1.833,54.3764,"Mar 4, 14",0.04775291147018441
2014-03-05,54.5945,54.638,53.7911,53.9145,11329892,2832473,-0.650912,-1.193,54.0545,"Mar 5, 14",0.035254471614965845
2014-03-06,54.1444,54.7034,54.0379,54.1686,9125960,2281490,0.254075,0.471,54.3758,"Mar 6, 14",0.04013364440220052
2014-03-07,54.4324,54.6211,54.0912,54.58,8971584,2242896,0.411358,0.759,54.4772,"Mar 7, 14",0.04803325748629473
2014-03-10,54.5679,54.776,54.3767,54.5654,7355232,1838808,-0.014521,-0.027,54.5638,"Mar 10, 14",0.04775291147018441
2014-03-11,54.6743,55.2648,54.3549,54.972,11065384,2766346,0.406521,0.745,54.9118,"Mar 11, 14",0.05556035600103696
2014-03-12,54.7155,55.0929,54.5146,54.7106,9400596,2350149,-0.261337,-0.475,54.7401,"Mar 12, 14",0.05054101020574712
2014-03-13,54.8461,55.047,53.3386,53.4233,11996536,2999134,-1.2873,-2.353,51.2648,"Mar 13, 14",0.025822556333227713
2014-03-14,53.3846,53.6994,52.8861,53.4209,13696284,3424071,-0.002418,-0.005,53.4137,"Mar 14, 14",0.02577647205660695
2014-03-17,53.7161,54.1734,53.5685,54.1492,8809800,2202450,0.728346,1.363,54.0025,"Mar 17, 14",0.03976112983284853
2014-03-18,54.3477,54.8728,54.021,54.7856,8304828,2076207,0.636395,1.175,54.6292,"Mar 18, 14",0.051981143850149375
2014-03-19,54.834,54.9502,53.7185,54.1589,7888832,1972208,-0.626718,-1.144,53.9266,"Mar 19, 14",0.039947387117524595
2014-03-20,54.2315,54.2315,53.4548,53.675,11890688,2972672,-0.483951,-0.894,53.7901,"Mar 20, 14",0.03065564484384149
2014-03-21,53.9532,56.3004,53.162,54.05,38097696,9524424,0.375062,0.699,53.9513,"Mar 21, 14",0.03785631306585249
2014-03-24,54.5388,54.7421,53.0168,53.4161,18236012,4559003,-0.633976,-1.173,53.5076,"Mar 24, 14",0.02568430350336515
2014-03-25,53.7645,53.9702,52.8474,52.8474,11678368,2919592,-0.568643,-1.065,53.214,"Mar 25, 14",0.014764250122411402
2014-03-26,53.2225,53.2806,52.1892,52.1892,10667356,2666839,-0.658172,-1.245,52.5823,"Mar 26, 14",0.002125637259137674
2014-03-27,51.9981,52.3078,51.5529,52.211,10523928,2630982,0.021778,0.042,51.333,"Mar 27, 14",0.0025442361051105596
2014-03-28,51.8989,52.349,50.9407,51.3206,14949844,3737461,-0.89047,-1.706,51.6107,"Mar 28, 14",-0.01455303052123236
2014-03-31,51.4899,52.2328,51.2192,52.2328,11639284,2909821,0.91225,1.778,51.9822,"Mar 31, 14",0.0029628349510834456
2014-04-01,52.528,52.789,51.9158,51.9521,9092024,2273006,-0.280693,-0.537,52.2223,"Apr 1, 14",-0.0024271052353657795
2014-04-02,51.9715,52.3877,51.6303,51.9424,9342376,2335594,-0.009678,-0.019,51.944,"Apr 2, 14",-0.002613362520041841
2014-04-03,52.2159,52.3344,51.6327,52.0271,14227788,3556947,0.084688,0.163,51.9445,"Apr 3, 14",-0.0009869715909636607
2014-04-04,52.1626,52.1965,49.7864,50.2583,24484052,6121013,-1.7688,-3.4,50.6129,"Apr 4, 14",-0.03495108346054514
2014-04-07,50.0357,50.1954,48.6421,49.2202,40159600,10039900,-1.0381,-2.065,49.2148,"Apr 7, 14",-0.05488445327726413
2014-04-08,49.0774,49.8276,48.879,49.0218,21756416,5439104,-0.198421,-0.403,49.3109,"Apr 8, 14",-0.058694086811256076
2014-04-09,49.5033,50.2776,49.029,50.2196,19166028,4791507,1.1978,2.443,49.7903,"Apr 9, 14",-0.03569419242105665
2014-04-10,50.3938,50.5898,48.4314,48.7701,20432336,5108084,-1.4494,-2.886,48.8126,"Apr 10, 14",-0.06352717532186986
2014-04-11,48.2088,48.3951,47.1465,47.5796,29940648,7485162,-1.1905,-2.441,47.7329,"Apr 11, 14",-0.08638689670401412
2014-04-14,48.3467,48.8669,47.9135,48.6395,20953096,5238274,1.0599,2.228,48.4622,"Apr 14, 14",-0.06603492804132224
2014-04-15,49.3243,49.5904,48.1942,49.3751,19233132,4808283,0.735601,1.512,49.0338,"Apr 15, 14",-0.051910097257025355
