date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,51.3514,53.5708,51.111,53.4969,8113915,8113915,1.757,3.396,52.7047,"Feb 5, 14",0
2014-02-06,53.6171,54.8285,53.5431,54.7638,6601279,6601279,1.2669,2.368,54.4405,"Feb 6, 14",0.023681746045098068
2014-02-07,55.0597,56.3728,54.9256,56.3728,9143520,9143520,1.6091,2.938,55.184,"Feb 7, 14",0.05375825515123309
2014-02-10,56.1879,56.3451,55.6146,56.0862,5031445,5031445,-0.286674,-0.509,56.0699,"Feb 10, 14",0.048400935381302496
2014-02-11,56.4283,59.8407,56.4098,59.369,16113817,16113817,3.2829,5.853,58.4298,"Feb 11, 14",0.10976523873345939
2014-02-12,59.2766,61.9583,58.472,60.4972,24542638,24542638,1.1282,1.9,60.2989,"Feb 12, 14",0.13085431118438645
2014-02-13,59.628,62.1063,59.517,61.3942,11104675,11104675,0.897006,1.483,61.259,"Feb 13, 14",0.1476216378892983
2014-02-14,61.1168,61.7873,59.7204,59.9054,8268436,8268436,-1.4888,-2.425,60.5893,"Feb 14, 14",0.11979198794696523
2014-02-18,59.9794,60.4325,59.4153,59.6835,7719625,7719625,-0.221941,-0.37,59.8363,"Feb 18, 14",0.1156440840497301
2014-02-19,59.8592,61.0613,59.4245,60.5805,5810151,5810151,0.897008,1.503,60.651,"Feb 19, 14",0.13241141075464194
2014-02-20,60.562,62.1803,60.5065,61.5422,6331631,6331631,0.961742,1.588,61.8331,"Feb 20, 14",0.15038815333224925
2014-02-21,61.5977,61.7272,60.8301,61.3295,3869330,3869330,-0.212695,-0.346,61.3747,"Feb 21, 14",0.14641222201660295
2014-02-24,61.459,62.1895,61.4127,61.5145,4783813,4783813,0.184953,0.302,61.6787,"Feb 24, 14",0.1498703663202915
2014-02-25,61.5237,63.105,61.0058,61.9121,7117493,7117493,0.397642,0.646,62.1421,"Feb 25, 14",0.15730257267243533
2014-02-26,61.8289,62.4115,61.0521,61.5052,5148363,5148363,-0.40689,-0.657,61.5166,"Feb 26, 14",0.14969652447151155
2014-02-27,61.3665,63.3455,61.3665,63.0588,6981220,6981220,1.5536,2.526,62.7015,"Feb 27, 14",0.1787374595537312
2014-02-28,63.0311,64.5846,62.1988,62.8369,5563585,5563585,-0.221939,-0.352,62.9028,"Feb 28, 14",0.17458955565649606
2014-03-03,62.5132,63.068,61.4127,62.3282,7405787,7405787,-0.508612,-0.809,62.1191,"Mar 3, 14",0.16508059345494797
2014-03-04,63.2992,64.224,63.253,63.8911,7256101,7256101,1.5628,2.507,63.8465,"Mar 4, 14",0.1942953703859477
2014-03-05,63.9743,63.9743,62.8461,63.327,4508419,4508419,-0.564097,-0.883,63.5755,"Mar 5, 14",0.1837508341604841
2014-03-06,63.6784,63.7339,61.6254,61.6902,6453227,6453227,-1.6368,-2.585,63.124,"Mar 6, 14",0.1531546687752001
2014-03-07,61.7826,62.5687,61.5884,62.1525,5941549,5941549,0.462375,0.75,62.0711,"Mar 7, 14",0.1617962910000394
2014-03-10,61.9583,62.1803,61.5237,61.7549,4176870,4176870,-0.397644,-0.64,61.8489,"Mar 10, 14",0.15436408464789556
2014-03-11,61.9121,62.1433,61.2833,61.5145,3309386,3309386,-0.240434,-0.389,61.6648,"Mar 11, 14",0.1498703663202915
2014-03-12,62.6427,63.5027,61.7272,61.8936,8244440,8244440,0.379147,0.616,62.1088,"Mar 12, 14",0.15695675824206642
2014-03-13,62.1063,62.9571,61.5607,61.8936,4709829,4709829,0,0,61.9571,"Mar 13, 14",0.15695675824206642
2014-03-14,61.7641,62.4485,61.6624,62.0231,4320033,4320033,0.129465,0.209,62.1307,"Mar 14, 14",0.15937745925464847
