date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-05,75.167,75.4209,74.3971,74.5635,16395819,16395819,-0.366243,-0.489,74.5362,"Feb 5, 14",0
2014-02-06,75.033,75.5946,74.815,75.2761,13650204,13650204,0.712539,0.956,75.2745,"Feb 6, 14",0.00955695481032938
2014-02-07,75.5443,75.9718,75.2342,75.9299,12632454,12632454,0.653844,0.869,74.87,"Feb 7, 14",0.018325320029236807
2014-02-10,75.821,75.888,74.9073,75.0414,12241464,12241464,-0.88856,-1.17,75.1845,"Feb 10, 14",0.006409302138445635
2014-02-11,75.0749,76.282,74.9408,76.1479,13426576,13426576,1.1065,1.475,75.8569,"Feb 11, 14",0.021249002528046592
2014-02-12,76.2904,77.0029,75.9802,76.3491,10753088,10753088,0.201182,0.264,76.4791,"Feb 12, 14",0.023947373715021453
2014-02-13,75.9383,76.8269,75.779,76.6425,9776453,9776453,0.293393,0.384,76.4975,"Feb 13, 14",0.027882274839566186
2014-02-14,76.9359,79.1573,76.785,78.889,18335517,18335517,2.2465,2.931,78.4189,"Feb 14, 14",0.05801095710367661
2014-02-18,78.8555,79.4003,78.2603,78.8555,12981890,12981890,-0.033527,-0.042,78.8089,"Feb 18, 14",0.05756167561876791
2014-02-19,78.6291,79.8782,78.6291,78.7549,12228854,12228854,-0.100592,-0.128,79.2676,"Feb 19, 14",0.05621249002528048
2014-02-20,78.6711,80.2805,78.5872,79.9452,14425193,14425193,1.1903,1.511,79.8604,"Feb 20, 14",0.07217606469653376
2014-02-21,80.0374,80.1213,79.5848,79.6602,11286050,11286050,-0.28501,-0.357,79.882,"Feb 21, 14",0.06835381922790638
2014-02-24,80.1464,81.5212,79.9787,80.8422,16034244,16034244,1.182,1.484,81.074,"Feb 24, 14",0.08420607938200327
2014-02-25,80.926,81.2864,80.4398,80.7332,10664330,10664330,-0.108974,-0.135,80.8931,"Feb 25, 14",0.08274423813259828
2014-02-26,80.9427,81.1942,80.0793,80.2973,9088471,9088471,-0.435895,-0.54,80.5206,"Feb 26, 14",0.07689821427373986
2014-02-27,80.1213,80.5152,79.7692,80.3392,9101165,9101165,0.041911,0.052,80.2155,"Feb 27, 14",0.07746015141456611
2014-02-28,80.4398,81.1716,80.2889,80.6997,12652612,12652612,0.360453,0.449,80.7472,"Feb 28, 14",0.08229495664768958
2014-03-03,80.2721,80.926,79.4925,80.0542,11897226,11897226,-0.645463,-0.8,79.8187,"Mar 3, 14",0.07363790594593855
2014-03-04,80.9679,81.1942,80.3643,80.9092,12566341,12566341,0.855029,1.068,80.8438,"Mar 4, 14",0.08510464235182084
2014-03-05,79.8027,79.8782,78.2896,78.6291,19836928,19836928,-2.2801,-2.818,78.9465,"Mar 5, 14",0.05452533746404057
2014-03-06,78.5202,78.7465,78.1849,78.5956,12612051,12612051,-0.033531,-0.043,78.462,"Mar 6, 14",0.05407605597913188
2014-03-07,79.107,79.6854,78.7884,79.6267,12660051,12660051,1.0311,1.312,79.3891,"Mar 7, 14",0.06790453774299751
2014-03-10,79.7608,80.0961,79.35,80.0542,9967356,9967356,0.427514,0.537,79.7624,"Mar 10, 14",0.07363790594593855
2014-03-11,79.9368,80.1296,78.3944,78.8052,12144602,12144602,-1.249,-1.56,78.9993,"Mar 11, 14",0.0568870828220241
2014-03-12,78.495,79.1908,78.4196,78.9728,9705872,9705872,0.167653,0.213,78.7604,"Mar 12, 14",0.0591348313853293
2014-03-13,79.1656,79.2746,78.2352,78.495,9872689,9872689,-0.477813,-0.605,73.1016,"Mar 13, 14",0.05272687038564444
2014-03-14,78.4447,78.9812,78.2016,78.3525,11731826,11731826,-0.142505,-0.182,78.5243,"Mar 14, 14",0.05081574765133076
2014-03-17,78.7549,79.2411,78.5872,79.065,8676159,8676159,0.712528,0.909,78.9535,"Mar 17, 14",0.06037136132289918
2014-03-18,79.1405,79.8446,78.8555,79.392,8757308,8757308,0.32692,0.413,79.494,"Mar 18, 14",0.06475688507111375
2014-03-19,79.3417,79.8865,78.0675,78.5705,9914653,9914653,-0.821497,-1.035,76.5482,"Mar 19, 14",0.053739430150140356
2014-03-20,78.3274,79.4171,77.9669,79.283,10405003,10405003,0.712521,0.907,79.1458,"Mar 20, 14",0.06329504382170896
2014-03-21,79.7189,80.4649,79.0567,79.0567,24482606,24482606,-0.226332,-0.285,76.6539,"Mar 21, 14",0.060260046805742776
2014-03-24,79.4339,79.7189,79.1992,79.3333,9539768,9539768,0.276632,0.35,79.4591,"Mar 24, 14",0.06396963661845258
2014-03-25,79.7189,80.3224,79.4674,79.5596,9799558,9799558,0.226329,0.285,80.0746,"Mar 25, 14",0.06700463363441896
2014-03-26,80.1045,80.1213,79.1405,79.3836,11033634,11033634,-0.176033,-0.221,79.3723,"Mar 26, 14",0.06464422941519639
2014-03-27,79.3081,80.8925,78.8471,80.6745,15427492,15427492,1.2909,1.626,80.014,"Mar 27, 14",0.0819569896799371
2014-03-28,80.8673,82.1247,80.8673,81.8984,12321804,12321804,1.2239,1.517,81.729,"Mar 28, 14",0.09837118697486022
2014-03-31,82.5606,82.8624,81.5798,81.8816,12375215,12375215,-0.016765,-0.02,82.0811,"Mar 31, 14",0.09814587566302549
2014-04-01,81.8565,82.0912,81.5463,81.9235,9476393,9476393,0.041912,0.051,81.7628,"Apr 1, 14",0.09870781280385174
2014-04-02,81.7559,82.2001,81.4625,82.1079,9550006,9550006,0.184417,0.225,81.9109,"Apr 2, 14",0.10118087267899167
2014-04-03,82.0073,82.6025,81.781,82.0912,10119284,10119284,-0.016767,-0.02,82.302,"Apr 3, 14",0.10095690250591771
2014-04-04,82.4013,82.745,81.5463,81.6134,12496720,12496720,-0.477808,-0.582,82.0422,"Apr 4, 14",0.09454894150623286
2014-04-07,81.5212,81.7559,81.1029,81.1272,10126378,10126378,-0.486193,-0.596,81.2901,"Apr 7, 14",0.08802832485063063
2014-04-08,81.32,82.0493,81.102,81.6888,10251416,10251416,0.561634,0.692,81.7332,"Apr 8, 14",0.095560160131968
2014-04-09,81.9403,81.9738,81.0006,81.5882,10464949,10464949,-0.100588,-0.123,81.4261,"Apr 9, 14",0.09421097453848055
2014-04-10,81.2948,81.9654,80.6703,81.1272,13449913,13449913,-0.461046,-0.565,81.346,"Apr 10, 14",0.08802832485063063
2014-04-11,80.9008,81.6803,80.708,81.0769,13353028,13353028,-0.050295,-0.062,81.0987,"Apr 11, 14",0.08735373205388682
2014-04-14,81.7223,82.196,81.0936,82.0325,9610713,9610713,0.955618,1.179,81.782,"Apr 14, 14",0.10016965405325653
2014-04-15,81.7978,82.7366,81.3703,82.7199,12961766,12961766,0.687378,0.838,82.1818,"Apr 15, 14",0.10938864189583362
2014-04-16,83.03,83.9102,82.963,83.7761,12508091,12508091,1.0562,1.277,83.5432,"Apr 16, 14",0.12355374948869077
2014-04-17,83.5665,84.6395,83.5665,84.1784,15439810,15439810,0.402368,0.48,84.2044,"Apr 17, 14",0.12894915072387952
2014-04-21,83.8515,84.606,83.7342,84.606,8003529,8003529,0.427512,0.508,84.4099,"Apr 21, 14",0.13468386006558153
2014-04-22,84.2707,84.5473,84.0108,84.1365,8212620,8212620,-0.469424,-0.555,84.3018,"Apr 22, 14",0.12838721358305327
2014-04-23,84.321,84.6227,84.103,84.2455,8691639,8691639,0.108973,0.13,84.3242,"Apr 23, 14",0.12984905483245826
2014-04-24,84.2287,84.3293,83.709,83.8348,9057792,9057792,-0.41075,-0.488,83.9354,"Apr 24, 14",0.12434099794135195
2014-04-25,83.818,84.3042,83.7677,84.1701,10396471,10396471,0.335306,0.4,84.0989,"Apr 25, 14",0.12883783620672312
2014-04-28,84.4299,85.0519,84.0862,84.8071,12710821,12710821,0.63708,0.757,84.5707,"Apr 28, 14",0.13738089011379562
2014-04-29,85.1424,85.9807,84.8575,85.0419,10094588,10094588,0.234712,0.277,85.3881,"Apr 29, 14",0.14052988392444016
2014-04-30,84.7736,85.8466,84.4215,85.8466,13972286,13972286,0.804735,0.946,85.2456,"Apr 30, 14",0.15132202753357862
2014-05-01,85.4694,85.8298,84.8323,85.0083,11161697,11161697,-0.838263,-0.976,85.2268,"May 1, 14",0.14007926130077047
2014-05-02,84.8994,86.2657,84.6479,85.5113,11169957,11169957,0.50296,0.592,85.6902,"May 2, 14",0.14682518926820765
2014-05-05,85.243,86.4501,85.1508,86.2657,7614576,7614576,0.754435,0.882,86.1129,"May 5, 14",0.1569427400806023
2014-05-06,86.0059,86.5926,85.8466,86.0645,9669834,9669834,-0.201183,-0.233,88.5135,"May 6, 14",0.15424436889362744
2014-05-07,86.4418,86.7184,86.1651,86.4334,11007353,11007353,0.368835,0.429,86.5075,"May 7, 14",0.15919182978266846
2014-05-08,86.4166,86.5843,85.6455,85.7711,8924353,8924353,-0.662229,-0.766,86.0063,"May 8, 14",0.15030946776908272
2014-05-09,85.8387,86.2354,85.4589,86.0413,8948779,8948779,0.270108,0.315,85.8791,"May 9, 14",0.15393322470109372
2014-05-12,86.362,86.3788,85.6826,86.2776,8830502,8830502,0.236307,0.275,86.1193,"May 12, 14",0.15710233559315215
2014-05-13,86.2354,86.6827,86.0328,86.3873,7529135,7529135,0.109713,0.127,86.5586,"May 13, 14",0.15857356481388335
2014-05-14,86.3873,86.6573,86.1763,86.3282,6999163,6999163,-0.059078,-0.068,88.8811,"May 14, 14",0.1577809518061785
2014-05-15,86.0834,86.4379,84.674,85.0538,13658740,13658740,-1.2744,-1.476,85.3966,"May 15, 14",0.1406894794369898
2014-05-16,84.8935,85.2395,84.6656,85.0201,10369477,10369477,-0.033757,-0.04,84.9379,"May 16, 14",0.1402375156745592
2014-05-19,84.75,85.3323,84.75,85.1298,5851383,5851383,0.109713,0.129,85.1201,"May 19, 14",0.14170874489529056
2014-05-20,84.9779,85.307,84.7753,84.961,6140744,6140744,-0.168792,-0.198,85.0081,"May 20, 14",0.13944490266685433
2014-05-21,85.1129,86.2691,85.0032,86.1088,7748049,7748049,1.1478,1.351,85.845,"May 21, 14",0.15483849336471595
2014-05-22,85.9231,86.0581,85.6362,85.6615,5304614,5304614,-0.447296,-0.519,86.1096,"May 22, 14",0.1488395796871123
2014-05-23,85.7037,86.0244,85.4642,85.5096,5411273,5411273,-0.151909,-0.177,85.6588,"May 23, 14",0.14680238990927197
2014-05-27,85.7543,85.9991,85.1804,85.5433,8359739,8359739,0.033757,0.039,85.5155,"May 27, 14",0.1472543536717026
2014-05-28,85.4336,86.1425,85.2817,85.2901,7587010,7587010,-0.253186,-0.296,85.6953,"May 28, 14",0.14385859032904827
2014-05-29,85.6952,85.7881,85.2564,85.4674,6113654,6113654,0.177228,0.208,85.4777,"May 29, 14",0.14623642935216283
2014-05-30,85.0707,85.3661,84.7078,84.8428,11488959,11488959,-0.624525,-0.731,85.9287,"May 30, 14",0.13785967665144463
2014-06-02,84.8428,85.1382,84.117,84.3449,7762537,7762537,-0.497936,-0.587,84.5432,"Jun 2, 14",0.13118214676081447
2014-06-03,84.0495,84.9779,84.0495,84.7247,9384234,9384234,0.379784,0.45,84.688,"Jun 3, 14",0.13627579177479587
2014-06-04,84.5728,84.7795,84.3618,84.4293,7154661,7154661,-0.295387,-0.349,84.5291,"Jun 4, 14",0.13231406787503258
2014-06-05,84.4799,85.096,84.3618,84.8597,12296438,12296438,0.430416,0.51,84.7908,"Jun 5, 14",0.13808632910204052
2014-06-06,84.9104,85.7712,84.9019,85.7459,9342474,9342474,0.886155,1.044,87.5679,"Jun 6, 14",0.14997150080133043
